x,y
0.655,-0.071
0.911,-0.069
1.166,-0.068
1.677,-0.065
2.188,-0.062
2.699,-0.059
3.210,-0.056
3.721,-0.053
4.232,-0.050
4.742,-0.047
5.253,-0.044
5.764,-0.041
6.275,-0.038
6.786,-0.036
7.297,-0.033
7.808,-0.030
8.319,-0.027
8.830,-0.024
9.341,-0.021
9.852,-0.018
10.363,-0.015
10.874,-0.012
11.385,-0.009
11.895,-0.006
12.406,-0.003
12.917,-0.001
13.428,0.002
13.939,0.005
14.450,0.008
14.961,0.011
15.472,0.014
15.983,0.017
16.494,0.020
17.005,0.023
17.516,0.026
18.027,0.029
18.538,0.032
19.049,0.035
19.559,0.037
20.070,0.040
20.581,0.043
21.092,0.046
21.603,0.049
22.114,0.052
22.524,-0.049
22.832,-0.254
23.040,-0.562
23.146,-0.975
23.152,-1.491
23.157,-2.007
23.162,-2.524
23.167,-3.040
23.172,-3.556
23.178,-4.073
23.183,-4.589
23.188,-5.105
23.193,-5.622
23.198,-6.138
23.203,-6.654
23.209,-7.171
23.214,-7.687
23.117,-8.099
22.917,-8.407
22.615,-8.611
22.210,-8.711
21.703,-8.706
21.196,-8.702
20.690,-8.697
20.183,-8.693
19.676,-8.688
19.169,-8.684
18.662,-8.679
18.155,-8.674
17.648,-8.670
17.141,-8.665
16.634,-8.661
16.127,-8.656
15.620,-8.652
15.113,-8.647
14.606,-8.643
14.099,-8.638
13.592,-8.634
13.085,-8.629
12.578,-8.625
12.071,-8.620
11.564,-8.616
11.057,-8.611
10.550,-8.607
10.043,-8.602
9.537,-8.598
9.030,-8.593
8.523,-8.589
8.016,-8.584
7.509,-8.579
7.002,-8.575
6.495,-8.570
5.988,-8.566
5.481,-8.561
4.974,-8.557
4.467,-8.552
3.960,-8.548
3.453,-8.543
2.946,-8.539
2.439,-8.534
1.932,-8.530
1.425,-8.525
0.918,-8.521
0.514,-8.412
0.212,-8.198
0.013,-7.879
-0.084,-7.457
-0.077,-6.929
-0.071,-6.401
-0.065,-5.874
-0.059,-5.346
-0.053,-4.819
-0.047,-4.291
-0.041,-3.764
-0.035,-3.236
-0.029,-2.709
-0.023,-2.181
-0.017,-1.654
-0.011,-1.126
-0.008,-0.862
-0.005,-0.599
