x,y
6.444,-0.154
6.714,-0.141
6.984,-0.127
7.524,-0.101
8.064,-0.075
8.604,-0.049
9.037,0.075
9.364,0.298
9.584,0.619
9.697,1.039
9.704,1.558
9.711,2.076
9.718,2.595
9.725,3.113
9.732,3.632
9.739,4.150
9.746,4.668
9.753,5.187
9.759,5.705
9.766,6.224
9.738,6.780
9.674,7.373
9.509,7.863
9.242,8.247
8.873,8.528
8.437,8.666
7.935,8.662
7.434,8.658
6.932,8.655
6.430,8.651
5.928,8.647
5.426,8.643
4.925,8.640
4.423,8.636
3.921,8.632
3.419,8.628
2.917,8.624
2.416,8.621
1.914,8.617
1.412,8.613
0.910,8.609
0.408,8.606
-0.094,8.602
-0.595,8.598
-1.097,8.594
-1.599,8.591
-2.101,8.587
-2.603,8.583
-3.104,8.579
-3.606,8.575
-4.108,8.572
-4.610,8.568
-5.112,8.564
-5.613,8.560
-6.115,8.557
-6.617,8.553
-7.119,8.549
-7.621,8.545
-8.131,8.542
-8.651,8.539
-9.180,8.536
-9.717,8.533
-10.264,8.531
-10.810,8.529
-11.357,8.526
-11.903,8.524
-12.450,8.522
-12.890,8.418
-13.225,8.213
-13.454,7.907
-13.577,7.499
-13.594,6.989
-13.612,6.480
-13.629,5.970
-13.646,5.461
-13.656,4.944
-13.659,4.420
-13.655,3.889
-13.644,3.350
-13.626,2.804
-13.607,2.258
-13.589,1.712
-13.571,1.166
-13.552,0.620
-13.437,0.185
-13.224,-0.137
-12.914,-0.349
-12.507,-0.449
-12.003,-0.437
-11.499,-0.425
-10.995,-0.414
-10.491,-0.402
-9.987,-0.390
-9.735,-0.384
-9.483,-0.378
